"species_1","species_2","distance"
"Alca_torda","Calidris_canutus",0.173960745334625
"Alca_torda","Calidris_ferruginea",0.173960745334625
"Alca_torda","Calidris_minuta",0.173960745334625
"Alca_torda","Cepphus_grylle",0.045819453895092
"Alca_torda","Charadrius_alexandrinus",0.188815355300903
"Alca_torda","Charadrius_dubius",0.188815355300903
"Alca_torda","Charadrius_hiaticula",0.188815355300903
"Alca_torda","Chlidonias_niger",0.141882419586182
"Alca_torda","Ciconia_ciconia",0.202932327985764
"Alca_torda","Cygnus_columbianus",0.229098051786423
"Alca_torda","Cygnus_cygnus",0.229098051786423
"Alca_torda","Cygnus_olor",0.229098051786423
"Alca_torda","Fulica_atra",0.202932327985764
"Alca_torda","Gallinago_gallinago",0.173960745334625
"Alca_torda","Gallinula_chloropus",0.202932327985764
"Alca_torda","Grus_grus",0.202932327985764
"Alca_torda","Haematopus_ostralegus",0.188815355300903
"Alca_torda","Hydroprogne_caspia",0.141882419586182
"Alca_torda","Larus_argentatus",0.141882419586182
"Alca_torda","Larus_canus",0.141882419586182
"Alca_torda","Larus_fuscus",0.141882419586182
"Alca_torda","Larus_marinus",0.141882419586182
"Alca_torda","Larus_melanocephalus",0.141882419586182
"Alca_torda","Larus_ridibundus",0.141882419586182
"Alca_torda","Limosa_lapponica",0.173960745334625
"Alca_torda","Limosa_limosa",0.173960745334625
"Alca_torda","Lymnocryptes_minimus",0.173960745334625
"Alca_torda","Mergus_merganser",0.229098051786423
"Alca_torda","Mergus_serrator",0.229098051786423
"Alca_torda","Morus_bassanus",0.202932327985764
"Alca_torda","Numenius_arquata",0.173960745334625
"Alca_torda","Numenius_phaeopus",0.173960745334625
"Alca_torda","Nycticorax_nycticorax",0.202932327985764
"Alca_torda","Phalacrocorax_aristotelis",0.202932327985764
"Alca_torda","Phalacrocorax_carbo",0.202932327985764
"Alca_torda","Philomachus_pugnax",0.173960745334625
"Alca_torda","Platalea_leucorodia",0.202932327985764
"Alca_torda","Pluvialis_apricaria",0.188815355300903
"Alca_torda","Pluvialis_squatarola",0.188815355300903
"Alca_torda","Podiceps_cristatus",0.21634829044342
"Alca_torda","Rallus_aquaticus",0.202932327985764
"Alca_torda","Recurvirostra_avosetta",0.188815355300903
"Alca_torda","Rissa_tridactyla",0.141882419586182
"Alca_torda","Scolopax_rusticola",0.173960745334625
"Alca_torda","Somateria_mollissima",0.229098051786423
"Alca_torda","Stercorarius_skua",0.0670372098684311
"Alca_torda","Sterna_hirundo",0.141882419586182
"Alca_torda","Sterna_paradisaea",0.141882419586182
"Alca_torda","Sternula_albifrons",0.141882419586182
"Alca_torda","Tachybaptus_ruficollis",0.21634829044342
"Alca_torda","Tadorna_tadorna",0.229098051786423
"Alca_torda","Thalasseus_sandvicensis",0.141882419586182
"Alca_torda","Tringa_erythropus",0.173960745334625
"Alca_torda","Tringa_glareola",0.173960745334625
"Alca_torda","Tringa_nebularia",0.173960745334625
"Alca_torda","Tringa_ochropus",0.173960745334625
"Alca_torda","Tringa_totanus",0.173960745334625
"Alca_torda","Uria_aalge",0.0234930273145437
"Alca_torda","Vanellus_vanellus",0.188815355300903
"Anas_acuta","Anas_clypeata",0.0872013568878174
"Anas_acuta","Anas_crecca",0.045819453895092
"Anas_acuta","Anas_penelope",0.0670372098684311
"Anas_acuta","Anas_platyrhynchos",0.0234930273145437
"Anas_acuta","Anas_querquedula",0.0872013568878174
"Anas_acuta","Anas_strepera",0.0670372098684311
"Anas_acuta","Anser_albifrons",0.158329948782921
"Anas_acuta","Anser_anser",0.158329948782921
"Anas_acuta","Anser_brachyrhynchus",0.158329948782921
"Anas_acuta","Anser_fabalis",0.158329948782921
"Anas_acuta","Ardea_cinerea",0.229098051786423
"Anas_acuta","Ardea_purpurea",0.229098051786423
"Anas_acuta","Arenaria_interpres",0.229098051786423
"Anas_acuta","Aythya_ferina",0.106364198029041
"Anas_acuta","Aythya_fuligula",0.106364198029041
"Anas_acuta","Botaurus_stellaris",0.229098051786423
"Anas_acuta","Branta_bernicla",0.158329948782921
"Anas_acuta","Branta_canadensis",0.158329948782921
"Anas_acuta","Branta_leucopsis",0.158329948782921
"Anas_acuta","Bucephala_clangula",0.124575473368168
"Anas_acuta","Calidris_alba",0.229098051786423
"Anas_acuta","Calidris_alpina",0.229098051786423
"Anas_acuta","Calidris_canutus",0.229098051786423
"Anas_acuta","Calidris_ferruginea",0.229098051786423
"Anas_acuta","Calidris_minuta",0.229098051786423
"Anas_acuta","Cepphus_grylle",0.229098051786423
"Anas_acuta","Charadrius_alexandrinus",0.229098051786423
"Anas_acuta","Charadrius_dubius",0.229098051786423
"Anas_acuta","Charadrius_hiaticula",0.229098051786423
"Anas_acuta","Chlidonias_niger",0.229098051786423
"Anas_acuta","Ciconia_ciconia",0.229098051786423
"Anas_acuta","Cygnus_columbianus",0.158329948782921
"Anas_acuta","Cygnus_cygnus",0.158329948782921
"Anas_acuta","Cygnus_olor",0.158329948782921
"Anas_acuta","Fulica_atra",0.229098051786423
"Anas_acuta","Gallinago_gallinago",0.229098051786423
"Anas_acuta","Gallinula_chloropus",0.229098051786423
"Anas_acuta","Grus_grus",0.229098051786423
"Anas_acuta","Haematopus_ostralegus",0.229098051786423
"Anas_acuta","Hydroprogne_caspia",0.229098051786423
"Anas_acuta","Larus_argentatus",0.229098051786423
"Anas_acuta","Larus_canus",0.229098051786423
"Anas_acuta","Larus_fuscus",0.229098051786423
"Anas_acuta","Larus_marinus",0.229098051786423
"Anas_acuta","Larus_melanocephalus",0.229098051786423
"Anas_acuta","Larus_ridibundus",0.229098051786423
"Anas_acuta","Limosa_lapponica",0.229098051786423
"Anas_acuta","Limosa_limosa",0.229098051786423
"Anas_acuta","Lymnocryptes_minimus",0.229098051786423
"Anas_acuta","Mergus_merganser",0.124575473368168
"Anas_acuta","Mergus_serrator",0.124575473368168
"Anas_acuta","Morus_bassanus",0.229098051786423
"Anas_acuta","Numenius_arquata",0.229098051786423
"Anas_acuta","Numenius_phaeopus",0.229098051786423
"Anas_acuta","Nycticorax_nycticorax",0.229098051786423
"Anas_acuta","Phalacrocorax_aristotelis",0.229098051786423
"Anas_acuta","Phalacrocorax_carbo",0.229098051786423
"Anas_acuta","Philomachus_pugnax",0.229098051786423
"Anas_acuta","Platalea_leucorodia",0.229098051786423
"Anas_acuta","Pluvialis_apricaria",0.229098051786423
"Anas_acuta","Pluvialis_squatarola",0.229098051786423
"Anas_acuta","Podiceps_cristatus",0.229098051786423
"Anas_acuta","Rallus_aquaticus",0.229098051786423
"Anas_acuta","Recurvirostra_avosetta",0.229098051786423
"Anas_acuta","Rissa_tridactyla",0.229098051786423
"Anas_acuta","Scolopax_rusticola",0.229098051786423
"Anas_acuta","Somateria_mollissima",0.124575473368168
"Anas_acuta","Stercorarius_skua",0.229098051786423
"Anas_acuta","Sterna_hirundo",0.229098051786423
"Anas_acuta","Sterna_paradisaea",0.229098051786423
"Anas_acuta","Sternula_albifrons",0.229098051786423
"Anas_acuta","Tachybaptus_ruficollis",0.229098051786423
"Anas_acuta","Tadorna_tadorna",0.141882419586182
"Anas_acuta","Thalasseus_sandvicensis",0.229098051786423
"Anas_acuta","Tringa_erythropus",0.229098051786423
"Anas_acuta","Tringa_glareola",0.229098051786423
"Anas_acuta","Tringa_nebularia",0.229098051786423
"Anas_acuta","Tringa_ochropus",0.229098051786423
"Anas_acuta","Tringa_totanus",0.229098051786423
"Anas_acuta","Uria_aalge",0.229098051786423
"Anas_acuta","Vanellus_vanellus",0.229098051786423
"Anas_clypeata","Anas_crecca",0.0872013568878174
"Anas_clypeata","Anas_penelope",0.0872013568878174
"Anas_clypeata","Anas_platyrhynchos",0.0872013568878174
"Anas_clypeata","Anas_querquedula",0.0234930273145437
"Anas_clypeata","Anas_strepera",0.0872013568878174
"Anas_clypeata","Anser_albifrons",0.158329948782921
"Anas_clypeata","Anser_anser",0.158329948782921
"Anas_clypeata","Anser_brachyrhynchus",0.158329948782921
"Anas_clypeata","Anser_fabalis",0.158329948782921
"Anas_clypeata","Ardea_cinerea",0.229098051786423
