iba_label
LT005
NL079
NL077
NL078
NL072
NL013
NL094
NL015
NL048
NL089
NL107
NL028
LT006
NL091
NL052
NL074
NL076
NL063
NL090
NL073
NL058
NL034
NL014
NL053
BE023
NL041
BE024
NL017
NL018
NL038
RU180
NL055
NL050
NL075
NL100
