Country,Host,Latitude,Longitude,id,iba_label
Russia,Anas crecca,46.093536,48.014972,105,RU180
Netherlands,Anser anser,52.266897,5.290933,106,NL075
Netherlands,Anas crecca,51.877339,4.723778,107,NL079
Netherlands,Anas crecca,52.894199,4.942603,108,NL013
Netherlands,Larus ridibundus,51.955057,5.94767,109,NL094
Netherlands,Anas platyrhynchos,51.975424,4.819157,110,NL079
Netherlands,Anas penelope,51.975424,4.819157,111,NL079
Netherlands,Anas strepera,51.877339,4.723778,112,NL079
Netherlands,Anser fabalis,51.7865,5.4123,NA,NA
Netherlands,Cygnus columbianus,51.688626,5.489163,NA,NA
Netherlands,Anas penelope,52.006418,4.813038,115,NL077
Netherlands,Anser albifrons,52.197432,4.898622,116,NL076
Netherlands,Anas penelope,53.013759,5.963713,117,NL057
Netherlands,Anas penelope,53.037353,5.907173,118,NL058
Netherlands,Anas penelope,52.14719,4.926,119,NL076
Netherlands,Anas penelope,52.460632,4.969039,120,NL072
Netherlands,Anas penelope,52.873357,5.81946,121,NL064
Netherlands,Anas penelope,52.204449,4.965827,122,NL073
Netherlands,Anas penelope,52.100483,4.743216,123,NL077
Netherlands,Anas penelope,52.09996,4.755506,124,NL077
Netherlands,Anas penelope,52.188691,4.555839,125,NL089
Netherlands,Cygnus olor,52.052459,4.814168,126,NL077
Netherlands,Cygnus olor,51.997748,4.902726,127,NL078
Netherlands,Cygnus olor,51.987577,4.880969,128,NL078
Netherlands,Cygnus olor,52.064634,4.839709,129,NL077
Netherlands,Cygnus olor,51.979411,4.85567,130,NL079
Netherlands,Cygnus olor,52.019759,4.805801,131,NL077
Netherlands,Cygnus olor,52.000562,4.919696,132,NL078
Netherlands,Cygnus columbianus,51.692331,5.457531,NA,NA
Netherlands,Anas platyrhynchos,53.22451,6.529806,134,NL052
Netherlands,Larus ridibundus,52.257454,6.15597,135,NL107
Netherlands,Larus ridibundus,53.233411,6.543775,136,NL052
Netherlands,Larus ridibundus,52.097734,4.407508,137,NL089
Netherlands,Larus argentatus,52.383921,4.895006,138,NL072
Netherlands,Larus argentatus,52.389902,4.875255,139,NL072
Netherlands,Larus argentatus,52.072976,4.260611,NA,NA
Netherlands,Larus ridibundus,52.113451,6.145914,141,NL094
Netherlands,Anas platyrhynchos,52.265925,6.139684,142,NL107
Netherlands,Anas platyrhynchos,51.828219,5.926309,143,NL048
Netherlands,Larus ridibundus,52.555246,5.912275,144,NL041
Netherlands,Fulica atra,52.268594,6.147628,145,NL107
Netherlands,Larus argentatus,52.161152,4.490211,146,NL089
Netherlands,Fulica atra,52.161152,4.490211,147,NL089
Netherlands,Larus ridibundus,52.36445,4.922819,148,NL072
Netherlands,Larus canus,52.358619,4.917154,149,NL072
Netherlands,Larus ridibundus,52.366291,4.90692,150,NL072
Netherlands,Larus canus,52.37256,4.914908,151,NL072
Netherlands,Larus ridibundus,52.379138,4.900293,152,NL072
Netherlands,Larus ridibundus,52.372874,4.867101,153,NL072
Netherlands,Anas platyrhynchos,51.983215,5.914078,154,NL094
Netherlands,Anas platyrhynchos,51.894927,4.656916,155,NL079
Netherlands,Anas platyrhynchos,53.483449,6.149082,156,NL015
Netherlands,Branta leucopsis,53.483449,6.149082,157,NL015
Netherlands,Larus argentatus,53.483449,6.149082,158,NL015
Netherlands,Branta bernicla,53.483449,6.149082,159,NL015
Netherlands,Larus fuscus,53.483449,6.149082,160,NL015
Netherlands,Anas penelope,52.506048,4.863075,161,NL072
Netherlands,Anas penelope,52.548148,5.968597,162,NL090
Netherlands,Anas penelope,51.974607,4.835448,163,NL079
Netherlands,Anas penelope,52.858141,5.742799,164,NL063
Netherlands,Anser anser,51.877339,4.723778,165,NL079
Netherlands,Branta leucopsis,51.737459,4.23273,166,NL027
Netherlands,Anas acuta,51.975424,4.819157,167,NL079
Netherlands,Anas strepera,51.975424,4.819157,168,NL079
Netherlands,Anas crecca,51.975424,4.819157,169,NL079
Netherlands,Anas acuta,51.74534,4.54334,170,NL091
Netherlands,Anas penelope,52.159916,4.730726,171,NL076
Netherlands,Anas penelope,52.481061,4.92682,172,NL072
Germany,Anser albifrons,53.203913,7.419349,173,DE084
Netherlands,Anas penelope,52.91409,4.980392,174,NL013
Netherlands,Anas strepera,52.91409,4.980392,175,NL013
Netherlands,Anas crecca,52.91409,4.980392,176,NL013
Netherlands,Anas querquedula,51.74534,4.54334,177,NL091
Netherlands,Anas platyrhynchos,52.91653,4.97926,178,NL013
Netherlands,Larus marinus,52.798835,5.226556,179,NL034
Netherlands,Anas crecca,52.698449,5.115951,180,NL038
Netherlands,Anas clypeata,51.74534,4.54334,181,NL091
Netherlands,Anas penelope,52.906624,4.979382,182,NL013
Netherlands,Anas strepera,52.906624,4.979382,183,NL013
